product_name,pharmacy_name,pharmacy_price,parseDate,url
Глюкометр Infopia Element (Элемент) комплект в Астане,"Аптека ""Диабетика""",4 800 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-infopia-element-element-komplekt
Глюкометр IME-DC  комплект в Астане,"Аптека ""Диабетика""",7 800 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-ime-dc-komplekt
Глюкометр Gamma mini комплект в Астане,"Аптека ""ALIPHARM"" (АЛИФАРМ)",10 760 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-gamma-mini-komplekt
Глюкометр Gamma mini комплект в Астане,Аптека низких цен,9 210 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-gamma-mini-komplekt
Глюкометр Gamma mini комплект в Астане,"Аптека ""Аманат-Фарм""",7 300 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-gamma-mini-komplekt
Глюкометр Gamma mini комплект в Астане,"Аптека ""Диабетика""",6 950 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-gamma-mini-komplekt
Глюкометр Gamma mini комплект в Астане,"Аптека ""LEO PHARM"" (Лео Фарм)",10 155 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-gamma-mini-komplekt
Глюкометр IME-DC iDia комплект в Астане,"Аптека ""Диабетика""",7 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-ime-dc-idia-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""Aziamed"" (Азиямед)",10 710 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""Доктор Плюс""",11 200 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека Столицы,10 890 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""MEDSTANDARD"" (МЕДСТАНДАРТ)",15 850 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Дежурная аптека,10 710 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""Джеми""",9 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека «Life» (Лайф),11 600 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека,10 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека Sei Pharm (Сэй Фарм),6 990 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Басит-Фарм,11 250 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 640 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 640 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 550 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""ФАРМАКОМ""",9 555 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""ФАРМАКОМ""",8 825 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,12 530 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""Aziza Pharm"" (Азиза фарм)",9 650 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""Шалфей""",9 690 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 640 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""Ландыш""",9 990 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,12 530 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека низких цен,9 640 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека Tengripharm (Тэнгрифарм),7 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,DIAMOND PHARMACY 1,10 750 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,Аптека “GG Pharmacy”,10 710 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-550 комплект в Астане,"Аптека ""A-farm +"" (А-фарм +)",11 150 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-550-komplekt
Глюкометр Bionime Rightest GM-300 комплект в Астане,"Аптека ""Капсула""",9 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-300-komplekt
Глюкометр Bionime Rightest GM-300 комплект в Астане,"Аптека ""G-farm"" (Джи-фарм)",8 920 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-300-komplekt
Глюкометр Bionime Rightest GM-300 комплект в Астане,"Аптека ""Капсула""",8 880 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-bionime-rightest-gm-300-komplekt
Глюкометр Он Колл Симпл (On Call Simple) в Астане,Аптека низких цен,5 060 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-on-koll-simpl-on-call-simple
Глюкометр Сателлит Экспресс  в Астане,"Аптека ""Гиппократ""",12 550 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр Сателлит Экспресс  в Астане,Аптечная сеть ФЕНИКС,11 250 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр Сателлит Экспресс  в Астане,Аптека “GG Pharmacy”,12 870 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр Сателлит Экспресс  в Астане,Аптека,9 160 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр Сателлит Экспресс  в Астане,"Аптека ""Salamat"" (Саламат)",14 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр Сателлит Экспресс  в Астане,"Аптека ""Диабетика""",9 800 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр Сателлит Экспресс  в Астане,"Аптека ""Мурат-Фарм № 36""",8 420 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-satellit-ekspress
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Гиппократ""",6 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека низких цен,5 410 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""BIO Plus"" (БИО Плюс)",5 885 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,СТ Плюс Фарм,7 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""МедСервис Плюс""",5 845 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Farm N1""",9 300 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека,6 440 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""ID Pharmacy"" (АйДи Фармаси)",5 940 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""ARNA - 5"" (Арна-5)",5 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека Лекарь,5 940 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Doka Pharm"" (Дока Фарм)",5 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Доктор Плюс,6 200 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека низких цен,5 370 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека низких цен,5 430 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека низких цен,5 440 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека “GG Pharmacy”,6 440 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека низких цен,5 550 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека Tengripharm (Тэнгрифарм),5 115 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека “GG Pharmacy”,5 940 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Fleming"" (Флэминг)",7 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека «АЛТЫН ШАР»,6 160 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека ЭКО,6 520 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека ЭКО,6 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека ZERDE (Зерде),6 650 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека ZERDE (Зерде),6 350 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека ZERDE (Зерде),6 700 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,Аптека ZERDE (Зерде),6 100 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Глюкоза""",6 040 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Salamat"" (Саламат)",5 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр At Care (Экспресс-анализатор) комплект в Астане,"Аптека ""Salamat"" (Саламат)",6 300 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-at-care-ekspress-analizator-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,"Аптека ""Salamat"" (Саламат)",3 800 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,"Аптека ""Доктор Плюс""",3 130 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,"Аптека ""Aziza Pharm"" (Азиза фарм)",4 400 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,Аптека низких цен,2 900 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,"Аптека ""Максима-фарм""",2 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,"Аптека ""Максима-фарм""",3 880 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Контур Плюс (Contour Plus)  комплект в Астане,"Аптека ""Диабетика""",3 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-kontur-plyus-contour-plus-komplekt
Глюкометр Глюкокард Сигма (Glucocard Sigma) комплект в Астане,Аптека Tengripharm (Тэнгрифарм),6 130 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-glyukokard-sigma-glucocard-sigma-komplekt
Глюкометр Акку-Чек (Accu-Chek) Перформа Нано комплект в Астане,"Аптека ""Salamat"" (Саламат)",5 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-performa-nano-komplekt
Глюкометр Акку-Чек (Accu-Chek) Перформа Нано комплект в Астане,"Аптека ""Диабетика""",5 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-performa-nano-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Гиппократ""",5 590 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека Иммуно +,5 300 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптечная сеть ФЕНИКС,6 360 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптечная сеть ФЕНИКС,6 360 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Шипагер""",6 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,ЭКО АПТЕКА,6 720 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека Д3 D3,7 600 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека 24/7,6 690 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Иммунитет""",6 870 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""ARNA - 1"" (Арна-1)",6 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ИП ""Мермидия""",6 250 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека,7 460 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека Alifarm (Алифарм),7 020 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Darihana № 1,5 500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Басит-Фарм,6 800 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Aziamed"" (Азиямед)",6 220 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека низких цен,6 160 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека Landysh (Ландыш),5 990 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека низких цен,6 560 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""ФАРМАКОМ""",6 220 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека низких цен,3 330 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Шалфей""",6 145 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека низких цен,3 530 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Ландыш""",6 615 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека “GG Pharmacy”,7 780 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека “GG Pharmacy”,7 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,"Аптека ""Малина""",7 400 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека низких цен,7 580 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,Аптека низких цен,5 950 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Глюкометр Акку-Чек (Accu-Chek) Актив комплект в Астане,DIAMOND PHARMACY 1,6 350 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/glyukometr-akku-chek-accu-chek-aktiv-komplekt
Батарейка на глюкометры в Астане,"Аптека ""Диабетика""",500 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/batareyka-na-glyukometry
Ланцеты Microlet  № 200 в Астане,"Аптека ""Гиппократ""",6 000 тг.,2023-05-14,https://i-teka.kz/astana/medicaments/lancety-microlet-200
